margin_bin,n,n_events,fixed_f1@0.5,resid_f1@0.5,scalar_f1@0.5,delta_scalar_fixed,delta_scalar_resid,fixes,breaks,net_fixes,switch_precision,Q2_recovery_rate
lowest_10pct,2756,1430,0.8193033381712627,0.8635703918722787,0.8668359941944848,0.0475326560232221,0.0032656023222060737,152,21,131,0.8786127167630058,0.8539325842696629
p10_p30,5512,1931,0.8933236574746009,0.9120101596516691,0.9156386066763426,0.022314949201741707,0.0036284470246734646,156,33,123,0.8253968253968254,0.861878453038674
p30_p60,8268,2287,0.8659893565553943,0.8784470246734397,0.8924770198355104,0.02648766328011609,0.014029995162070708,274,55,219,0.8328267477203647,0.8253012048192772
highest_40pct,11024,2441,0.6914912917271407,0.6951197387518142,0.7118105950653121,0.020319303338171335,0.01669085631349787,325,101,224,0.7629107981220657,0.6742738589211619
