cand_bin,n,fixed_f1@0.5,resid_f1@0.5,scalar_f1@0.5,delta_scalar_fixed,delta_scalar_resid,net_fixes,switch_precision,Q2_recovery_rate
1_candidate,15530,0.9088860270444301,0.9088860270444301,0.9088860270444301,0.0,0.0,0,0.0,0.0
2_candidates,23122,0.8001902949571836,0.8088400657382578,0.8205172562927082,0.020326961335524585,0.011677190554450378,470,0.8100263852242744,0.7580246913580246
3plus_candidates,4438,0.7803064443442992,0.8181613339342046,0.8314556106354214,0.051149166291122206,0.013294276701216745,227,0.8161559888579387,0.8071625344352618
