method,f1@0.1,f1@0.5,precision@0.1,recall@0.1,precision@0.5,recall@0.5,miss_rate,detected_ae_median,detected_ae_p95,detected_ae_mae,frac_err_gt_1s,frac_err_gt_5s,frac_err_gt_10s,frac_err_gt_30s,delta_f1@0.5_vs_fixed,n_eligible_pairs,n_switch,switch_rate,fixes,breaks,net_fixes,switch_precision,Q1_count,Q2_count,Q1_break_rate,Q2_recovery_rate,both_correct,both_wrong,tau,delta_f1@0.1_vs_fixed,delta_f1@0.5_vs_resid,delta_f1@0.1_vs_resid,delta_p95_vs_fixed
fixed_rescore_UNION,0.5034578788582038,0.8373172429798097,0.5034578788582038,0.5034578788582038,0.8373172429798097,0.8373172429798097,0.0,0.1,2.4654999999999565,1.917768623810629,0.09417498259456951,0.040751914597354374,0.03532142028312834,0.022093293107449525,,,,,,,,,,,,,,,,,,,
resid_s_control,0.510837781387793,0.8458575075423532,0.510837781387793,0.510837781387793,0.8458575075423532,0.8458575075423532,0.0,0.1,2.12,1.775238106289162,0.08751450452541193,0.037247621257832444,0.03207240659085635,0.020399164539336274,0.008540264562543531,,,,,,,,,,,,,,,,,,
scalar_pairwise,0.5277326525876074,0.8534926897191923,0.5277326525876074,0.5277326525876074,0.8534926897191923,0.8534926897191923,0.0,0.1,1.85,1.195485031329775,0.08217683917382224,0.03274541656996983,0.026386632629380367,0.011882107217451844,0.01617544673938265,27560.0,11537.0,0.267741935483871,907.0,210.0,697.0,0.8119964189794091,18970.0,1173.0,0.01107011070110701,0.773231031543052,17110.0,5837.0,0.5,0.024274773729403565,0.007635182176839117,0.016894871199814365,-0.6154999999999564
