neighbor_bin,n_traces,n_events,baseline_f1@0.5,new_f1@0.5,delta_f1@0.5,baseline_f1@0.1,new_f1@0.1,delta_f1@0.1,precision@0.5,recall@0.5,miss_rate,detected_ae_median,detected_ae_p95
0,2924,1904,0.7848837209302325,0.7848837209302325,0.0,0.4469904240766074,0.4469904240766074,0.0,0.7848837209302325,0.7848837209302325,0.0,0.13,1.7854999999999972
1,6547,2499,0.7594318008248052,0.7644722773789523,0.0050404765541470775,0.4391324270658316,0.440812585917214,0.0016801588513823962,0.7644722773789522,0.7644722773789522,0.0,0.13,9.127999999999956
2-3,13506,3695,0.8011994669035984,0.8046053605804827,0.003405893676884264,0.47719532059825265,0.4789723086035836,0.0017769880053309373,0.8046053605804827,0.8046053605804827,0.0,0.11,2.67
4-7,26769,4024,0.8583062497665209,0.8611079980574545,0.0028017482909336033,0.5631514064776421,0.5641600358623782,0.001008629384736115,0.8611079980574545,0.8611079980574545,0.0,0.08,1.98
>=8,37547,2477,0.921564971901883,0.9229499027885051,0.00138493088662206,0.6033771007004555,0.6048685647322023,0.0014914640317468253,0.9229499027885051,0.9229499027885051,0.0,0.08,0.77
