method,f1@0.1,f1@0.5,precision@0.1,recall@0.1,precision@0.5,recall@0.5,miss_rate,detected_ae_median,detected_ae_p95,wrong_peak_rate,frac_ae_gt_1s,frac_ae_gt_5s,frac_ae_gt_10s,frac_ae_gt_30s,delta_f1@0.5
fixed_rescore_UNION,0.5539619442566988,0.8668048984454653,0.5539619442566988,0.5539619442566988,0.8668048984454653,0.8668048984454653,0.0,0.09,1.66,0.13319510155453473,0.07497737504725464,0.031858224599910646,0.02752798047953444,0.017962494128967957,
soft_best_abs,0.5553137135852817,0.8691647669343475,0.5553137135852817,0.5553137135852817,0.8691647669343475,0.8691647669343475,0.0,0.09,1.57,0.13083523306565245,0.07289244269299944,0.03002531703573024,0.02580962963811531,0.017103318708258396,0.002359868488882255
soft_sp,0.5552908022407295,0.8688554637828921,0.5552908022407295,0.5552908022407295,0.8688554637828921,0.8688554637828921,0.0,0.09,1.6,0.1311445362171079,0.07347668197908194,0.030804302750506912,0.02656570400833973,0.017481355893370604,0.0020505653374268684
soft_abs,0.5553137135852817,0.8691647669343475,0.5553137135852817,0.5553137135852817,0.8691647669343475,0.8691647669343475,0.0,0.09,1.57,0.13083523306565245,0.07289244269299944,0.03002531703573024,0.02580962963811531,0.017103318708258396,0.002359868488882255
soft_hybrid,0.5550846001397592,0.868935653488825,0.5550846001397592,0.5550846001397592,0.868935653488825,0.868935653488825,0.0,0.09,1.59,0.13106434651117502,0.07331630256721616,0.030426265565394704,0.026176211150951395,0.017275153792400307,0.002130755043359689
soft_sp_all,0.5548783980387889,0.8681795791186006,0.5548783980387889,0.5548783980387889,0.8681795791186006,0.8681795791186006,0.0,0.09,1.62,0.13182042088139942,0.07402655424833607,0.031079238885133975,0.026783361781586152,0.017527178582475114,0.0013746806731352867
