split,contrast,delta_f1@0.5,ci_lo,ci_hi,ci_available
held-out,scalar-fixed,0.020725902419674647,0.01816312577844821,0.023312352964793205,True
held-out,scalar-resid,0.005255850852836197,,,False
full-dev,scalar-fixed,0.013712439714524627,0.012656906329984199,0.014803389414578488,True
full-dev,scalar-resid,0.007320174584445449,0.006505596737837615,0.008158885173542001,True
confirm,scalar-fixed,0.01617544673938265,0.01456127724079393,0.01780921305127694,True
confirm,scalar-resid,0.007635182176839117,0.006464639853055701,0.008829127388887319,True
