feature,bin,n_traces,n_events,small_n,phasenet_f1_0.1,phasenet_f1_0.5,phasenet_e2e_p95,fixed_f1_0.1,fixed_f1_0.5,fixed_e2e_p95,delta_f1_0.5,delta_e2e_p95,history_coverage
s_n_cands,single_peak,92,9,False,0.44,0.7200000000000001,0.8049999999999996,0.44,0.7200000000000001,0.8049999999999996,0.0,0.0,0.6195652173913043
s_n_cands,multi_peak,16,5,True,0.2857142857142857,0.3809523809523809,1.4579999999999995,0.3809523809523809,0.4761904761904761,0.2179999999999999,0.0952380952380952,-1.2399999999999998,0.5
s_peak_probability,<0.3,7,5,True,0.0,0.0,2.223,0.0,0.0,2.223,0.0,0.0,0.4285714285714285
s_peak_probability,0.3-0.7,45,8,False,0.1846153846153846,0.5538461538461539,1.0730000000000002,0.1846153846153846,0.5538461538461539,1.0730000000000002,0.0,0.0,0.4444444444444444
s_peak_probability,>0.7,56,8,False,0.6185567010309277,0.8247422680412371,0.34,0.6391752577319588,0.8453608247422679,0.25,0.0206185567010308,-0.09,0.75
residual_s_mad,<0.2,12,5,True,0.9090909090909092,0.9090909090909092,0.0755,0.9090909090909092,0.9090909090909092,0.0755,0.0,0.0,1.0
residual_s_mad,0.2-0.5,25,7,True,0.4186046511627906,0.6976744186046512,1.8409999999999995,0.4651162790697674,0.7441860465116279,1.4669999999999987,0.0465116279069767,-0.3740000000000005,1.0
residual_s_mad,0.5-1.0,14,5,True,0.2727272727272727,0.6363636363636364,0.8394999999999997,0.2727272727272727,0.6363636363636364,0.8394999999999997,0.0,0.0,1.0
residual_s_mad,>1.0,50,7,False,0.2253521126760563,0.5633802816901408,0.34,0.2253521126760563,0.5633802816901408,0.34,0.0,0.0,0.28
history_count,<5,15,6,True,0.6923076923076923,0.846153846153846,0.285,0.6923076923076923,0.846153846153846,0.285,0.0,0.0,0.4
history_count,5-9,45,8,False,0.3529411764705882,0.6470588235294117,0.4199999999999999,0.3529411764705882,0.6470588235294117,0.4199999999999999,0.0,0.0,0.4222222222222222
history_count,10-19,29,8,True,0.2553191489361702,0.5957446808510638,1.8409999999999995,0.2978723404255319,0.6382978723404256,1.4669999999999987,0.0425531914893617,-0.3740000000000005,0.7241379310344828
history_count,>=20,19,6,True,0.6,0.7333333333333334,0.185,0.6,0.7333333333333334,0.185,0.0,0.0,1.0
