method,S_F1_0.1,S_F1_0.5,S_e2e_P95_s,S_e2e_MAE_s,role
PhaseNet (STEAD),0.4623376623376623,0.6952774498229043,2.150999999999985,1.9853025936599424,baseline
fixed catalog_rescore,0.476741440377804,0.717827626918536,1.11,0.6233948126801153,main
learned gate (ablation),0.4750885478158205,0.7157418339236522,1.16,0.5915566762728146,ablation
oracle PN/fixed selector,0.4774498229043684,0.7200708382526564,1.1004999999999927,0.6198328530259366,diagnostic_ceiling
oracle candidate K=5,0.5884726224783862,0.8900576368876081,0.96,0.3147521613832853,diagnostic_ceiling
