method,S_F1_0.5,S_e2e_P95
PhaseNet,0.6952774498229043,2.150999999999985
fixed catalog_rescore,0.717827626918536,1.11
learned gate,0.7157418339236522,1.16
shuffled history,0.7113734750098386,1.2103333333333284
biased history,0.7146792601338056,1.1601666666666641
oracle selector,0.7200708382526564,1.1004999999999927
oracle candidate,0.7292798110979929,0.96
