split,method,f1@0.5,f1@0.1,detected_ae_median,detected_ae_mae,detected_ae_p95,frac_err_gt_1s,frac_err_gt_5s,frac_err_gt_10s,miss_rate,n_eval,n_pred,n_miss,coverage_pred,fixes,breaks,net_fixes,n_switch,n_ge2,switch_precision_state_changing,p95_scope
calibration,E_scalar,0.9390971980920492,0.6534415769024229,0.07,0.7039962725463562,0.62,0.03256783649745712,0.01721578165966453,0.014783460214170641,0.0,31657,31657,0.0,1.0,799,71,728,8185,24036,0.9183908045977012,detected_non_missing_labeled_with_prediction
calibration,C_best,0.9365069336955492,0.6503774836529046,0.07,1.1226613387244528,0.66,0.03468427204093881,0.020722115171999872,0.018858388350127934,0.0,31657,31657,0.0,1.0,707,61,646,6887,24036,0.9205729166666666,detected_non_missing_labeled_with_prediction
calibration,scalar_minus_C,0.0025902643965000083,0.003064093249518285,0.0,-0.4186650661780966,-0.040000000000000036,-0.00211643554348169,-0.003506333512335341,-0.0040749281359572925,0.0,31657,31657,,1.0,92,10,82,1298,24036,,
heldout_eval,E_scalar,0.9403014676715589,0.6633611000925559,0.06,0.7091706333465556,0.61,0.033287055401295784,0.017982282163162767,0.015172550575168585,0.0,30252,30252,0.0,1.0,705,78,627,7511,23052,0.9003831417624522,detected_non_missing_labeled_with_prediction
heldout_eval,C_best,0.9384172947243158,0.6614108158138305,0.06,1.098768015337829,0.64,0.035303451011503374,0.020924236414121382,0.018874785138172683,0.0,30252,30252,0.0,1.0,627,57,570,6409,23052,0.9166666666666666,detected_non_missing_labeled_with_prediction
heldout_eval,scalar_minus_C,0.001884172947243079,0.001950284278725345,0.0,-0.38959738199127336,-0.030000000000000027,-0.00201639561020759,-0.002941954250958615,-0.0037022345630040986,0.0,30252,30252,,1.0,78,21,57,1102,23052,,
fulldev_phaseB,E_scalar,0.8805173381599899,0.5733563974201826,0.08,1.008869325146346,1.4,0.06636270949560676,0.02684064014296679,0.021674131946433275,0.0,87293,87293,0.0,1.0,1526,329,1197,22216,55366,0.8226415094339623,detected_non_missing_labeled_with_prediction
fulldev_phaseB,C_best,0.8799789215630119,0.5711912753599945,0.08,1.4864284650544717,1.43,0.06677511369754734,0.030048228380282496,0.026176211150951395,0.0,87293,87293,0.0,1.0,1506,356,1150,18732,55366,0.8088077336197637,detected_non_missing_labeled_with_prediction
fulldev_phaseB,scalar_minus_C,0.0005384165969779531,0.0021651220601881516,0.0,-0.4775591399081256,-0.030000000000000027,-0.00041240420194058047,-0.003207588237315706,-0.00450207920451812,0.0,87293,87293,,1.0,20,-27,47,3484,55366,,
