method,f1@0.5,f1@0.1,precision@0.5,recall@0.5,detected_ae_median,detected_ae_mae,detected_ae_p95,miss_rate,frac_err_gt_1s,frac_err_gt_5s,frac_err_gt_10s,n,mech_n_traces,mech_n_ge2,mech_n_switch,mech_fixes,mech_breaks,mech_net_fixes,mech_unchanged_correct_after_switch,mech_unchanged_wrong_after_switch,mech_switch_precision_state_changing,mech_switch_precision_definition,mech_Q1_count,mech_Q2_count
A_fixed,0.7293903037956921,0.4287518417175331,0.7293903037956921,0.7293903037956921,0.1343270000000029,4.916436041464955,39.14313279999997,0.0,0.20599172104118432,0.1295867536658949,0.10825791061530905,14253,14253,9661,0,0,0,0,0,0,,fixes/(fixes+breaks) among switches that change correctness state @0.5s,1618,504
B_resid,0.7368974952641549,0.4347154984915456,0.7368974952641549,0.7368974952641549,0.1305090000000018,4.699799809233143,37.43056279999999,0.0,0.19848452957272153,0.12411422156738933,0.10285553918473304,14253,14253,9661,446,129,22,107,250,45,0.8543046357615894,fixes/(fixes+breaks) among switches that change correctness state @0.5s,1618,504
C_best,0.741177296007858,0.4425033326317266,0.741177296007858,0.741177296007858,0.1264249999999992,4.665229550901564,37.208311,0.0,0.19588858485932786,0.1231319722163755,0.10229425384129658,14253,14253,9661,2327,232,64,168,1696,335,0.7837837837837838,fixes/(fixes+breaks) among switches that change correctness state @0.5s,1618,504
D_linear,0.7341612292149022,0.4413807619448537,0.7341612292149021,0.7341612292149021,0.127873999999997,3.975768027713464,29.74644099999999,0.0,0.20234336630884725,0.12271100820879814,0.09997895179962113,14253,14253,9661,4427,251,183,68,3180,813,0.5783410138248848,fixes/(fixes+breaks) among switches that change correctness state @0.5s,1618,504
E_scalar,0.7466498281063636,0.4460815266961341,0.7466498281063636,0.7466498281063636,0.1241580000000021,3.413102596856802,25.36004799999999,0.0,0.18978460674945624,0.11295867536658949,0.08854276292710307,14253,14253,9661,3406,327,81,246,1923,1075,0.8014705882352942,fixes/(fixes+breaks) among switches that change correctness state @0.5s,1618,504
