margin_bin,n,ΔF1@0.5_vs_fixed,ΔF1@0.5_vs_resid
lowest10,2756,0.0475326560232221,0.003265602322206
10-30,5512,0.0223149492017417,0.0036284470246734
30-60,8268,0.026487663280116,0.0140299951620707
highest40,11024,0.0203193033381713,0.0166908563134978
