rank_good,count,fraction,cumulative_fraction,n_recoverable,P_le2,P_le3,P_le5
2,1820,0.8375517717441325,0.8375517717441325,2173,0.8375517717441325,0.9788311090658076,1.0
3,307,0.1412793373216751,0.9788311090658076,2173,0.8375517717441325,0.9788311090658076,1.0
4,40,0.01840773124712379,0.9972388403129314,2173,0.8375517717441325,0.9788311090658076,1.0
5,6,0.0027611596870685687,1.0,2173,0.8375517717441325,0.9788311090658076,1.0
