model,tau,f1@0.5,delta_f1@0.5_vs_fixed,fixes,breaks,net_fixes,switch_precision,q2_recovery
scalar_full,0.5,0.9405989686632289,0.021023403411344677,709,73,636,0.9066496163682864,0.8884711779448622
scalar_without_resid_s,0.5,0.9362686764511438,0.016693111199259536,637,132,505,0.8283485045513654,0.7982456140350878
scalar_without_source,0.5,0.940665079994711,0.02108951474282683,699,61,638,0.9197368421052632,0.8759398496240601
scalar_without_resid_s_and_source,0.5,0.9358058971307681,0.016230331878883897,623,132,491,0.8251655629139073,0.7807017543859649
waveform_plus_scalar_without_resid_s,0.5,0.9365000661113315,0.0169245008594473,654,142,512,0.821608040201005,0.8195488721804511
waveform_plus_scalar_without_source,0.5,0.9412270263123099,0.021651461060425703,724,69,655,0.9129886506935687,0.9072681704260651
