method,f1@0.1,f1@0.5,precision@0.1,recall@0.1,precision@0.5,recall@0.5,miss_rate,detected_ae_median,detected_ae_p95,detected_ae_mae,frac_err_gt_1s,frac_err_gt_5s,frac_err_gt_10s,frac_err_gt_30s,delta_f1@0.5_vs_fixed,delta_f1@0.1_vs_fixed,n_eligible_pairs,n_switch,switch_rate,fixes,breaks,net_fixes,switch_precision,Q1_count,Q2_count,Q1_break_rate,Q2_recovery_rate,both_correct,both_wrong,tau,delta_f1@0.5_vs_resid,delta_f1@0.1_vs_resid,delta_p95_vs_fixed,peak_vram_MiB
fixed_rescore_UNION,0.5539619442566988,0.8668048984454653,0.5539619442566988,0.5539619442566988,0.8668048984454653,0.8668048984454653,0.0,0.09,1.66,1.5356124775182431,0.07497737504725464,0.031858224599910646,0.02752798047953444,0.017962494128967957,,,,,,,,,,,,,,,,,,,,
resid_s_control,0.5590940854364038,0.8731971635755444,0.5590940854364038,0.5590940854364038,0.8731971635755444,0.8731971635755444,0.0,0.09,1.5239999999999418,1.44280159921185,0.07063567525460232,0.02961291283378965,0.025408681108450848,0.016908572279564226,0.006392265130079178,0.005132141179705063,,,,,,,,,,,,,,,,,,
scalar_pairwise,0.5733563974201826,0.8805173381599899,0.5733563974201826,0.5733563974201826,0.8805173381599899,0.8805173381599899,0.0,0.08,1.4,1.008869325146346,0.06636270949560676,0.02684064014296679,0.021674131946433275,0.010126814292096732,0.013712439714524627,0.01939445316348387,55366.0,22216.0,0.2544992152864491,1526.0,329.0,1197.0,0.8226415094339623,41569.0,1953.0,0.00791455170920638,0.7813620071684588,34097.0,9674.0,0.5,0.007320174584445449,0.014262311983778808,-0.26,10.61328125
