cand_bin,n,n_events,fixed_f1@0.5,resid_f1@0.5,scalar_f1@0.5,delta_scalar_fixed,delta_scalar_resid,net_fixes,switch_precision,Q2_recovery_rate
1_candidate,31927,5070,0.9245779434334576,0.9245779434334576,0.9245779434334576,0.0,0.0,0,0.0,0.0
2_candidates,44513,5275,0.8302518365421337,0.8374407476467549,0.848830678678139,0.018578842136005247,0.011389931031384082,827,0.8217898832684825,0.7724945135332846
3plus_candidates,10853,3475,0.8467704782087901,0.8686998986455358,0.8808624343499494,0.03409195614115923,0.012162535704413613,370,0.8245614035087719,0.8020477815699659
