margin_bin,n,n_events,margin_lo,margin_hi,fixed_f1@0.5,resid_f1@0.5,scalar_f1@0.5,delta_scalar_fixed,delta_scalar_resid,fixes,breaks,net_fixes,switch_precision,Q2_recovery_rate
lowest_10pct,5537,2830,1.2672936660309674e-05,0.08262754989939936,0.8712299078923604,0.9053639154776955,0.9064475347661188,0.0352176268737584,0.0010836192884233764,219,24,195,0.9012345679012346,0.8690476190476191
p10_p30,11073,3855,0.08263214938510155,0.2221117716300739,0.9054456786778651,0.9207983383003703,0.9268490923868871,0.02140341370902199,0.006050754086516785,280,43,237,0.8668730650154799,0.8722741433021807
p30_p60,16610,4475,0.2221143059932827,0.5156934898775951,0.8762191450933173,0.885009030704395,0.89789283564118,0.021673690547862723,0.012883804936785093,469,109,360,0.8114186851211073,0.7962648556876061
highest_40pct,22146,4867,0.5157355634861815,43.377552564476964,0.7560281766458955,0.7584213853517564,0.7743159035491737,0.01828772690327818,0.015894518197417273,558,153,405,0.7848101265822784,0.7054361567635904
