Split,Eligible_pairs,Switch_count,Fixes,Breaks,Net_fixes,Switch_precision,Q2_recovery,Q1_break_rate
confirm,27560,11537,907,210,697,0.812,0.773,0.011
phaseB-full-dev,55366,22216,1526,329,1197,0.823,0.781,0.008
