method,f1@0.1,f1@0.5,precision@0.1,recall@0.1,precision@0.5,recall@0.5,miss_rate,detected_ae_median,detected_ae_p95,wrong_peak_rate,frac_ae_gt_1s,frac_ae_gt_5s,frac_ae_gt_10s,frac_ae_gt_30s,delta_f1@0.5
fixed_rescore_UNION,0.5539619442566988,0.8668048984454653,0.5539619442566988,0.5539619442566988,0.8668048984454653,0.8668048984454653,0.0,0.09,1.66,0.13319510155453473,0.07497737504725464,0.031858224599910646,0.02752798047953444,0.017962494128967957,
moveout_best,0.5575361140068505,0.8724296335330439,0.5575361140068505,0.5575361140068505,0.8724296335330439,0.8724296335330439,0.0,0.09,1.52,0.1275703664669561,0.07065858659915457,0.029418166405095484,0.025259757368861192,0.016816926901355205,0.005624735087578658
singlestation_resid_control,0.5592773761928219,0.8737355801725224,0.5592773761928219,0.5592773761928219,0.8737355801725224,0.8737355801725224,0.0,0.09,1.51,0.12626441982747758,0.07016599269128108,0.029372343715990974,0.025202479007480554,0.016805471229079078,0.006930681727057131
