feature,auc,median_good,median_bad,median_d_good_minus_bad,mean_d,iqr_d,p_d_gt_0,effect_size_cohen_d,n_pairs
neg_abs_resid_s,0.7188070502453332,-0.34838691156665114,-0.6770400934152416,0.29999999999999893,4.873916349062562,0.7195181258779275,0.7762416794674859,0.44007808068136123,1953
source_is_ida,0.7017409114183307,0.601126472094214,0.19764464925755248,1.0,0.40348182283666156,,0.5729646697388633,0.9038425777141145,1953
neg_moveout_abs,0.6793423723362715,-0.33438893377061696,-0.6460695053609484,0.25,4.783191335191561,0.8499999999999979,0.710189452124936,0.4308670124898793,1953
neg_abs_resid_sp,0.6428349888535212,-0.40992790591045214,-0.6909352515706937,0.21579894215161044,2.500922426372675,0.8499999999999961,0.7009728622631849,0.19077527327553265,1953
neg_moveout_sp,0.6167817580959419,-0.4054495267565308,-0.6632109791225919,0.17000000000000037,2.4838041020255632,0.8744118042507114,0.6559139784946236,0.18886979375605337,1953
ida_prob,0.6105414515710818,0.2598772346973419,0.19434022158384323,-0.010205037891864777,-0.005020946240689181,0.16901658475399017,0.07475678443420379,0.2859805209046712,1953
ring_s,0.5858318961535882,0.7095981064508801,0.6141117738295705,0.028225065302623753,0.10055225767725291,0.310765625153352,0.5535074244751664,0.31632380209718247,1953
neg_abs_hist_dev,0.5762050532626817,-0.4911349999999993,-0.6379269999999997,0.08999999999999997,4.394926727086533,1.0,0.5739887352790578,0.39531142396459495,1953
ring_sp,0.5625170146378238,0.5086214720959535,0.39949059769729867,0.01603085975855334,0.06951010171882958,0.32025823198219877,0.5417306707629288,0.20669059672132273,1953
source_is_stead+ida,0.47900665642601126,0.12698412698412698,0.16897081413210446,0.0,-0.04198668714797747,,0.08397337429595494,-0.11842337542772861,1953
history_prior,0.46468796020354425,0.006118880564779274,0.14041679918534097,0.0,-0.07827991744959108,0.09926874972761301,0.19764464925755248,-0.18595041246328745,1953
source_is_stead,0.31925243215565796,0.271889400921659,0.6333845366103431,-1.0,-0.3614951356886841,,0.2048131080389145,-0.77926308084429,1953
fixed_score,0.3030992795622893,-0.9522229015331406,-0.5114705663003953,-0.4161324986657906,-1.2948540493414922,0.647049775792444,0.0,-0.18838519230064094,1953
cand_prob,0.2994505544924256,0.28541791439056396,0.4999474287033081,-0.20066457986831665,-0.17243334353235318,0.3187955170869827,0.16845878136200718,-0.7535077543069931,1953
stead_prob,0.2885991809570465,0.35137706995010376,0.5699728727340698,-0.08172447234392166,-0.09147222958771246,0.1968945562839508,0.047619047619047616,-0.8029043353473598,1953
