bin,n_traces,baseline_f1@0.5,new_f1@0.5,delta_f1@0.5,fixes,breaks,net
"(0.286, 2.405]",21823,0.7952160564541998,0.8016313064198324,0.006415249965632586,193,53,140
"(-0.0009873, 0.286]",21824,0.8955736803519062,0.9116568914956011,0.01608321114369493,433,82,351
"(2.405, 999.0]",43646,0.8882142693488522,0.8882142693488522,0.0,0,0,0
neighbors_0,1522,0.9126149802890933,0.9126149802890933,0.0,0,0,0
neighbors_1,98,0.6428571428571429,0.6530612244897959,0.010204081632652962,1,0,1
neighbors_2-3,811,0.8187422934648582,0.837237977805179,0.018495684340320784,17,2,15
neighbors_4-7,6628,0.8405250452625226,0.8471635485817743,0.006638503319251754,66,22,44
neighbors_>=8,78234,0.8689188843725234,0.8744279980571107,0.005509113684587286,542,111,431
