gate,threshold,n_allowed,frac_allowed,f1@0.1,f1@0.5,precision@0.1,recall@0.1,precision@0.5,recall@0.5,miss_rate,detected_ae_median,detected_ae_p95,wrong_peak_rate,frac_ae_gt_1s,frac_ae_gt_5s,frac_ae_gt_10s,frac_ae_gt_30s,delta_f1@0.5,delta_f1@0.1,delta_p95,fixes,breaks_all,net_fixes_minus_breaks,recoverable_oracle_gap_recovered_pct,n_baseline_wrong_but_recoverable,changed_rate,change_precision
margin_lowest_10pct,0.12790745474560253,8730,0.10000801897059329,0.5560926993000584,0.8693595133630417,0.5560926993000584,0.5560926993000584,0.8693595133630417,0.8693595133630417,0.0,0.09,1.58,0.1306404866369583,0.07282370865934268,0.030414809893118577,0.02615329980639914,0.017183508414191286,0.00255461491757647,0.002130755043359689,-0.07999999999999985,274,51,223,0.12609295904279796,2173,0.025145200646099916,0.8430769230769231
margin_lowest_20pct,0.23143370931069426,17459,0.20000458226891046,0.5564478251406184,0.8704936249183782,0.5564478251406184,0.5564478251406184,0.8704936249183783,0.8704936249183783,0.0,0.09,1.55,0.12950637508162166,0.07211345697822277,0.029968038674349603,0.02574089560445855,0.017000217657773247,0.003688726472912962,0.0024858808839196556,-0.10999999999999988,391,69,322,0.17993557294063506,2173,0.029624368506065778,0.85
margin_lowest_30pct,0.3499013353570574,26188,0.3000011455672276,0.5569060520316634,0.8711695095826698,0.5569060520316634,0.5569060520316634,0.8711695095826698,0.8711695095826698,0.0,0.09,1.54,0.12883049041733013,0.07168959710400605,0.02975038090110318,0.025557604848040507,0.01694293929639261,0.004364611137204544,0.002944107774964677,-0.11999999999999988,480,99,381,0.2208927749654855,2173,0.03224771745729898,0.8290155440414507
stead_ida_top2_disagree,,51639,0.5915594606669492,0.5566196602247603,0.8707571053807293,0.5566196602247603,0.5566196602247603,0.8707571053807293,0.8707571053807293,0.0,0.09,1.57,0.12924289461927074,0.07210200130594664,0.030460632582223087,0.026256400856884285,0.01740116618743771,0.003952206935263991,0.0026577159680615248,-0.08999999999999986,456,111,345,0.20984813621721124,2173,0.032316451490955744,0.8042328042328042
